Rank,saliency_score,OG
749,0.08683544397354126,COG0245
750,0.06835194677114487,COG0603
751,0.07555074989795685,COG0052
752,0.08597635477781296,COG0323
753,0.07050272822380066,COG5566
754,0.04078708589076996,COG0075
755,0.028584450483322144,COG1739
756,0.025093503296375275,COG2082
757,0.05769859254360199,COG3576
758,0.06731373071670532,COG0127
759,0.0437130443751812,COG0260
760,0.06945133209228516,COG0347
761,0.09230239689350128,COG0825
762,0.04731025546789169,2DT6I
763,0.12586404383182526,COG4464
764,0.08804847300052643,COG0783
765,0.10045546293258667,COG1468
766,0.1435878574848175,COG0268
767,0.10100407898426056,COG0186
768,0.1579238772392273,COG1402
769,0.13188841938972473,COG0234
770,0.15019844472408295,COG0214
771,0.08766558766365051,29QVJ
772,0.0780964195728302,2E36V
773,0.08108457922935486,COG0118
774,0.07933449745178223,COG0853
775,0.11030617356300354,COG0151
776,0.1294395923614502,COG1470
777,0.12746265530586243,COG0694
778,0.1306547373533249,COG2256
779,0.09511549770832062,COG4276
780,0.13608762621879578,COG0112
781,0.13049696385860443,COG2195
782,0.10875870287418365,COG0130
783,0.0860472172498703,COG2843
784,0.10134241729974747,COG3435
785,0.06654821336269379,2E3CY
786,0.07197460532188416,COG0835
787,0.07380443811416626,COG1774
788,0.1125926822423935,28HTI
789,0.07646438479423523,COG1360
790,0.05531538277864456,COG0172
791,0.06612583994865417,COG1064
792,0.10515100508928299,COG1023
793,0.0734868198633194,COG1979
794,0.04842624068260193,2E5BC
795,0.036502905189991,COG0536
796,0.07682079076766968,COG0201
797,0.08951660245656967,COG1589
798,0.08086949586868286,2B0BZ
799,0.07410992681980133,COG0297
800,0.07236588001251221,28IH1
801,0.07891999185085297,2DM3T
802,0.12086959183216095,COG0193
803,0.10603267699480057,COG1392
804,0.08369030058383942,COG1246
805,0.07503143697977066,COG0544
806,0.08027802407741547,2EDDQ
807,0.06485594809055328,COG1079
808,0.030650828033685684,COG1157
809,0.07926768064498901,COG0369
810,0.070571668446064,COG1254
811,0.07701191306114197,COG0819
812,0.08998805284500122,2DB6C
813,0.11665509641170502,COG0282
814,0.09333957731723785,28T1D
815,0.08034712076187134,COG2089
816,0.052973903715610504,COG2230
817,0.07857512682676315,COG2040
818,0.04092807322740555,2CY4V
819,0.06364411860704422,2E886
820,0.06381062418222427,COG4335
821,0.06106153875589371,2BGSU
822,0.0657736212015152,COG0327
823,0.061068836599588394,COG0103
824,0.07478560507297516,COG1659
825,0.08696483075618744,COG0139
826,0.08443101495504379,COG1227
827,0.09209007769823074,COG1540
828,0.0210214015096426,COG3828
829,0.0003518765151966363,COG0009
830,0.01416531391441822,2A637
831,0.06373205035924911,COG0708
832,0.07336404919624329,COG1334
833,0.06903260946273804,COG3493
834,0.09065596759319305,2DNBD
835,0.04064346104860306,COG0136
836,0.10050109028816223,COG2445
837,0.10625685006380081,COG1305
838,0.13811013102531433,28PAX
839,0.11431030929088593,COG2224
840,0.08036098629236221,29S1A
841,0.0521419420838356,2DEKV
842,0.030145814642310143,2A0X8
843,0.03948593884706497,2DJ2E
844,0.04935323819518089,COG1496
845,0.059482552111148834,COG4100
846,0.06114567071199417,COG4670
847,0.05730611830949783,COG0782
848,0.06427276879549026,29SEN
849,0.059652768075466156,COG1801
850,0.08938007056713104,COG2056
851,0.08157393336296082,COG1114
852,0.08511485159397125,COG1461
853,0.13188636302947998,2B51H
854,0.07664721459150314,2ECBP
855,0.08437451720237732,2E3GS
856,0.08182388544082642,COG0521
857,0.09137341380119324,COG1583
858,0.16079501807689667,COG3339
859,0.0983218401670456,COG0355
860,0.09031391888856888,COG2110
861,0.10814569890499115,COG1558
862,0.09815439581871033,COG3869
863,0.09360453486442566,COG1213
864,0.08414800465106964,COG3401
865,0.07445457577705383,2E3U1
866,0.05510236322879791,COG1225
867,0.021126050502061844,COG1508
868,0.05035262554883957,COG0171
